KEY,percepcion,ideologia
9_6,Que siga gobernando MORENA,MORENA
9_8,Que siga gobernando MORENA,MORENA
9_8,Que siga gobernando MORENA,MORENA
12_3,Que siga gobernando MORENA,MORENA
30_46,Que siga gobernando MORENA,MORENA
12_3,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
12_3,No sabe / No respondió,MORENA
12_3,Que siga gobernando MORENA,PRD - Partido de la Revolución Democrática
12_3,Que haya un cambio de partido en el gobierno,MORENA
4_2,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
15_60,Que haya un cambio de partido en el gobierno,MORENA
9_8,Que siga gobernando MORENA,MORENA
9_11,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
12_3,Que siga gobernando MORENA,MORENA
9_11,Que siga gobernando MORENA,PAN - Partido Acción Nacional
9_14,Que haya un cambio de partido en el gobierno,Ninguno
30_174,Que siga gobernando MORENA,MORENA
9_14,Que siga gobernando MORENA,MORENA
26_59,Que siga gobernando MORENA,Ninguno
31_8,Que siga gobernando MORENA,MORENA
9_14,Que haya un cambio de partido en el gobierno,MC - Movimiento Ciudadano
9_14,Que haya un cambio de partido en el gobierno,Ninguno
30_82,Que siga gobernando MORENA,MORENA
14_94,Que siga gobernando MORENA,PVEM – Partido Verde Ecologista de México
14_94,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
15_60,Que haya un cambio de partido en el gobierno,MORENA
30_46,Que haya un cambio de partido en el gobierno,MORENA
26_59,Que siga gobernando MORENA,MORENA
30_82,Que siga gobernando MORENA,Ninguno
26_59,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
26_59,Que siga gobernando MORENA,MORENA
26_59,Que siga gobernando MORENA,MORENA
26_59,Que haya un cambio de partido en el gobierno,MORENA
10_37,Que siga gobernando MORENA,Ninguno
10_37,Que siga gobernando MORENA,MORENA
10_37,Que siga gobernando MORENA,MORENA
10_37,Que siga gobernando MORENA,PAN - Partido Acción Nacional
10_37,Que siga gobernando MORENA,MORENA
14_94,Que siga gobernando MORENA,MORENA
14_94,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
4_2,Que siga gobernando MORENA,PRD - Partido de la Revolución Democrática
31_8,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
10_5,Que siga gobernando MORENA,MC - Movimiento Ciudadano
10_5,Que haya un cambio de partido en el gobierno,MORENA
15_60,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
14_94,Que haya un cambio de partido en el gobierno,MC - Movimiento Ciudadano
10_5,Que siga gobernando MORENA,MORENA
4_2,Que haya un cambio de partido en el gobierno,MORENA
30_46,Que siga gobernando MORENA,PRI - Partido Revolucionario Institucional
9_13,Que siga gobernando MORENA,PRD - Partido de la Revolución Democrática
14_94,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
9_11,No sabe / No respondió,PT- Partido del Trabajo
10_5,Que siga gobernando MORENA,PVEM – Partido Verde Ecologista de México
14_94,Que siga gobernando MORENA,MORENA
15_60,Que siga gobernando MORENA,MC - Movimiento Ciudadano
10_5,Que siga gobernando MORENA,PRI - Partido Revolucionario Institucional
3_3,Que siga gobernando MORENA,PRI - Partido Revolucionario Institucional
4_2,No sabe / No respondió,MORENA
14_94,No sabe / No respondió,MC - Movimiento Ciudadano
10_5,Que siga gobernando MORENA,MORENA
30_136,Que siga gobernando MORENA,MORENA
14_94,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
4_2,Que siga gobernando MORENA,PRI - Partido Revolucionario Institucional
3_3,Que siga gobernando MORENA,MORENA
30_174,Que siga gobernando MORENA,PRI - Partido Revolucionario Institucional
14_94,Que siga gobernando MORENA,MORENA
4_2,Que siga gobernando MORENA,PRI - Partido Revolucionario Institucional
