percepcion,ideologia,KEY
neutro,PAN poco,20_184
desaprueba algo,Ninguno ,20_44
neutro,PT poco,20_278
desaprueba mucho,Ninguno ,20_417
neutro,Ninguno ,20_468
desaprueba algo,Ninguno ,20_166
desaprueba mucho,PVEM mucho,20_468
desaprueba algo,Ns/Nc,20_278
desaprueba mucho,PT poco,20_184
neutro,Ninguno ,20_184
desaprueba algo,PVEM mucho,20_417
desaprueba mucho,Ninguno ,20_184
aprueba algo,Ninguno ,20_184
neutro,Ninguno ,20_184
aprueba algo,Ninguno ,20_184
desaprueba algo,Ninguno ,20_278
neutro,Ninguno ,20_468
neutro,Ninguno ,20_184
neutro,Ninguno ,20_278
neutro,PRI mucho,20_278
neutro,Ninguno ,20_278
desaprueba mucho,PRI mucho,20_278
desaprueba mucho,Ns/Nc,20_44
aprueba mucho,PRI mucho,20_417
neutro,Ninguno ,20_44
desaprueba mucho,Ninguno ,20_468
neutro,Ninguno ,20_468
desaprueba mucho,PVEM poco,20_278
N/S,Ninguno ,20_184
neutro,PRI mucho,20_278
neutro,Ninguno ,20_184
neutro,Ninguno ,20_417
neutro,Ninguno ,20_184
neutro,Ninguno ,20_278
desaprueba algo,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_184
desaprueba algo,Ninguno ,20_468
desaprueba algo,Ninguno ,20_166
neutro,Ninguno ,20_184
desaprueba algo,Ninguno ,20_278
aprueba algo,Ninguno ,20_278
neutro,Ninguno ,20_417
desaprueba mucho,Ninguno ,20_184
desaprueba algo,PRI mucho,20_278
desaprueba algo,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_44
desaprueba algo,MC mucho,20_184
aprueba algo,Ninguno ,20_166
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ns/Nc,20_44
desaprueba algo,Ns/Nc,20_44
desaprueba mucho,PAN poco,20_278
desaprueba algo,Ns/Nc,20_44
desaprueba algo,PRD poco,20_278
neutro,PAN poco,20_44
desaprueba mucho,PVEM mucho,20_44
desaprueba algo,Ninguno ,20_44
desaprueba mucho,Ninguno ,20_44
aprueba mucho,Ninguno ,20_44
desaprueba mucho,PAN poco,20_417
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ns/Nc,20_468
desaprueba algo,Ninguno ,20_44
desaprueba mucho,Ninguno ,20_468
desaprueba algo,Ninguno ,20_278
desaprueba algo,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
aprueba algo,Ninguno ,20_278
desaprueba algo,Ninguno ,20_184
desaprueba algo,PRI mucho,20_278
desaprueba mucho,Ninguno ,20_184
desaprueba algo,PRD mucho,20_278
aprueba mucho,Ninguno ,20_278
neutro,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_468
desaprueba algo,Ninguno ,20_468
desaprueba algo,Ninguno ,20_166
desaprueba algo,Ninguno ,20_417
aprueba algo,PRD poco,20_44
desaprueba algo,Ninguno ,20_278
aprueba mucho,PRI mucho,20_44
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_278
desaprueba mucho,Morena mucho,20_278
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Morena poco ,20_184
desaprueba mucho,PH mucho,20_184
neutro,PRI mucho,20_184
neutro,PRI poco ,20_184
desaprueba algo,PRI poco ,20_278
neutro,Ns/Nc,20_184
neutro,Ninguno ,20_184
neutro,Ninguno ,20_44
