SbjNum,fecha,Clave.Ent,Entidad,Clave.Mun,KEY,Municipio,Clave.Localidad,Localidad,Clave.Sec,Clave.Manzana,PA,PB,B1,PD,P1_1,P1_2,P1_3,P1_5,P1_6,P1_7,P2_1,P2_2,P2_3,P2_5,P2_6,P2_7,P3,P3_1,P4,P5,P7,ideologia,P8,percepcion,P9,P10,P11,P12_1,P12_2,P12_4,P12_5,NIVEL,Ponderador
4408435776,07/09/2023,16,MICHOACAN,54,16_54,"MORELIA, MICH.",1,MORELIA,1206,5,2,22,,1,1,2,1,2,1,2,1,,1,,2,,1,1,1,2,5,PRI - Partido Revolucionario Institucional,2,Que haya un cambio de partido en el gobierno,2,2,1,3,2,3,2,3,0.7
189946639,07/09/2023,18,NAYARIT,4,18_4,"BAHIA DE BANDERAS, NAY.",1,MEZCALES,972,3,1,18,,1,1,2,2,1,1,2,2,,,2,2,,1,1,1,3,6,MORENA,7,Que siga gobernando Morena,1,2,1,3,3,2,1,4,1.03
189817444,07/09/2023,12,GUERRERO,1,12_1,"ACAPULCO DE JUAREZ, GRO.",4,TRES PALOS,374,68,2,52,,1,2,1,2,1,1,,,3,,2,2,,3,1,1,2,4,MC - Movimiento Ciudadano,6,Que haya un cambio de partido en el gobierno,2,2,3,1,3,2,2,6,1.61
4408806582,07/09/2023,16,MICHOACAN,111,16_111,"ZINAPECUARO, MICH.",3,JERAHUARO DE JUAREZ,2559,8,2,25,,1,1,1,2,2,1,2,2,2,,,2,,3,1,1,1,4,PVEM – Partido Verde Ecologista de México,5,Que haya un cambio de partido en el gobierno,2,2,1,2,2,2,1,4,0.93
189890989,07/09/2023,9,CIUDAD DE MEXICO,14,9_14,"BENITO JUAREZ, CDMX",1,CIUDAD DE MEXICO,4405,19,2,68,,1,1,2,1,2,1,2,99,,5,,2,,3,1,2,1,7,PAN - Partido Acción Nacional,1,Que haya un cambio de partido en el gobierno,2,1,3,3,2,2,2,6,1.98
189822417,07/09/2023,15,MEXICO,105,15_105,"TLALNEPANTLA DE BAZ, MEX.",1,TLALNEPANTLA DE BAZ,4789,6,1,33,,1,1,2,1,1,1,,2,,2,2,2,,3,1,1,1,2,MC - Movimiento Ciudadano,6,Que haya un cambio de partido en el gobierno,2,1,2,1,3,3,2,3,0.85
4408766692,07/09/2023,16,MICHOACAN,103,16_103,"URUAPAN, MICH.",1,URUAPAN DEL PROGRESO,2210,28,2,49,,1,1,2,1,1,1,2,2,,2,2,2,,3,1,2,6,1,MC - Movimiento Ciudadano,6,Que haya un cambio de partido en el gobierno,2,2,3,3,2,3,2,1,0.37
9230088,07/09/2023,7,CHIAPAS,16,7_16,"CATAZAJA, CHIS.",161,LA SIRIA II SECCION,195,8,1,20,,1,1,2,1,2,1,1,1,,3,,2,2,97,1,97,6,1,PT- Partido del Trabajo,4,No respondió,99,2,1,2,3,2,97,1,0.55
189879193,07/09/2023,9,CIUDAD DE MEXICO,5,9_5,"GUSTAVO A. MADERO, CDMX",1,CIUDAD DE MEXICO,929,25,1,54,,1,1,1,1,1,1,1,3,2,4,2,2,2,97,1,2,7,2,Ninguno,97,Que siga gobernando Morena,1,3,1,1,1,3,2,3,0.79
169554498,07/09/2023,28,TAMAULIPAS,22,28_22,"MATAMOROS, TAMPS.",1,H. MATAMOROS,663,25,2,20,2,1,1,1,1,2,1,2,1,1,1,,3,,1,1,1,7,1,MORENA,7,Que siga gobernando Morena,1,2,2,1,1,1,1,2,0.58
