percepcion,ideologia,KEY
Aprueba,Ninguno,30_39
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,PAN,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PRI,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,PRI,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
